_key	r	g	b	hue	sat_1	value	lumo	sat_2	red	green	blue	yellow	cyan	magenta	orange	indigo	black	white	unknown	grey
Mega Man X - Command Mission.jpg	105	116	149	225	0.3	1	0.5	0.17	413	0	236	346	8	0	701	0	3025	5837	42692	508
Mega Man X7.jpg	96	114	126	204	0.24	0	0.44	0.14	303	0	14	344	68	0	415	0	5538	3024	42542	658
Mega Man X8.jpg	123	111	124	295.38	0.1	0	0.46	0.06	359	0	7	881	34	0	1015	123	2436	4591	42723	477
Melatonin.jpg	165	134	177	283.26	0.24	1	0.61	0.22	0	0	0	0	0	0	0	0	0	1936	41907	1293
Metal Gear - Rising Revengeance.jpg	103	108	113	210	0.09	0	0.42	0.05	0	0	0	1	52	0	41	0	10364	5004	41181	2019
Metal Gear Solid - Peace Walker.jpg	92	92	87	60	0.05	0	0.35	0.03	0	0	0	0	0	0	0	0	20032	7325	30956	12244
Metal Gear Solid - Portable Ops.jpg	170	166	161	33.33	0.05	1	0.65	0.05	5	0	0	25	0	0	97	0	8757	23450	37504	5696
Metal Gear Solid - The Twin Snakes.jpg	97	127	114	154	0.24	0	0.44	0.13	0	0	0	0	0	0	0	0	4556	2937	42229	971
Metal Gear Solid 2 - Sons of Liberty.jpg	159	145	134	26.4	0.16	1	0.57	0.12	2457	0	0	0	0	0	76	0	5436	13125	38202	4998
Metal Gear Solid 3 - Snake Eater.jpg	127	90	40	34.48	0.69	0	0.33	0.52	591	0	0	2283	0	0	6636	0	14160	2316	42830	370
Metal Gear Solid 4 - Guns of the Patriots.jpg	63	53	52	5.45	0.17	0	0.23	0.1	264	0	0	0	0	0	0	0	23678	242	39397	3803
Metal Gear Solid V - Ground Zeroes.jpg	72	75	86	227.14	0.16	0	0.31	0.09	23	0	0	0	10	0	0	0	14144	2316	41033	2167
Metal Gear Solid V - The Phantom Pain.jpg	44	21	21	0	0.52	0	0.13	0.35	4	0	0	0	0	0	0	0	28024	310	42014	1186
Metal Gear Solid.jpg	145	144	142	40	0.02	1	0.56	0.01	0	0	0	0	0	0	0	0	11939	17304	33172	10028
Metal Slug 7.jpg	124	95	73	25.88	0.41	0	0.39	0.26	1789	0	0	128	0	0	1271	0	10929	4553	42274	926
Metamorphosis.jpg	48	88	101	194.72	0.52	0	0.29	0.36	0	0	0	0	0	0	0	0	5653	707	42692	508
Metaphor ReFantazio.jpg	136	114	103	20	0.24	1	0.47	0.14	17	0	0	69	0	0	512	1	6338	8389	39029	4171
Metro 2033.jpg	96	70	72	355.38	0.27	0	0.33	0.16	102	0	0	0	0	0	1	0	19806	5731	41986	1214
Metro Exodus.jpg	110	116	130	222	0.15	1	0.47	0.08	0	0	0	0	0	0	0	0	5320	6215	42873	327
Metro Last Light.jpg	90	74	33	43.16	0.63	0	0.24	0.46	1	0	0	120	0	0	9457	0	20593	204	40525	2675
Metroid - Other M.jpg	66	39	34	9.38	0.48	0	0.2	0.32	869	52	0	38	0	0	385	0	21784	622	42725	475
Metroid - Samus Returns.jpg	70	52	51	3.16	0.27	0	0.24	0.16	186	0	0	250	0	0	624	0	19073	968	41985	1215
Metroid Dread.jpg	95	63	63	0	0.34	0	0.31	0.2	3659	11	0	21	40	0	10	0	15402	3339	41023	2177
Metroid Prime 2 - Echoes.jpg	109	101	98	16.36	0.1	0	0.41	0.05	376	17	0	1	63	0	389	0	11797	6351	40591	2609
Metroid Prime 3 - Corruption.jpg	84	87	96	225	0.12	0	0.35	0.07	0	0	0	0	7	0	0	0	6320	2131	42167	1033
Metroid Prime.jpg	133	116	94	33.85	0.29	1	0.45	0.17	281	0	0	46	0	0	466	0	2819	813	41521	1679
Micro Maniacs.jpg	105	76	71	8.82	0.32	0	0.35	0.19	1487	0	0	1333	0	0	602	62	12924	1604	42574	626
Middle-Earth - Shadow of Mordor.jpg	83	86	89	210	0.07	0	0.34	0.03	0	0	0	0	0	0	0	0	18165	4040	34580	8620
Middle-Earth - Shadow of War.jpg	38	29	30	353.33	0.24	0	0.13	0.13	0	0	0	0	0	0	0	0	33896	170	42343	857
Midnight Fight Express.jpg	92	92	108	240	0.15	0	0.39	0.08	10	0	0	0	9	0	111	0	13156	4882	41438	1762
Might & Magic Heroes VI.jpg	176	154	136	27	0.23	1	0.61	0.2	413	0	0	42	0	0	926	0	5198	16147	41318	1882
Might and Magic - Clash of Heroes.jpg	149	126	70	42.53	0.53	1	0.43	0.36	606	0	0	4073	0	0	5121	0	6445	1891	42715	485
Mighty Goose.jpg	90	72	82	326.67	0.2	0	0.32	0.11	1286	0	903	844	0	0	1322	0	7453	1791	41489	1711
Mind Path to Thalamus.jpg	170	156	165	321.43	0.08	1	0.64	0.08	0	0	0	0	0	0	0	0	0	1981	41077	2123
Minds Beneath Us.jpg	48	45	56	256.36	0.2	0	0.2	0.11	0	0	0	0	0	0	0	0	28748	1307	42449	751
Minecraft Dungeons.jpg	110	56	54	2.14	0.51	0	0.32	0.34	2097	0	0	230	0	0	2709	0	8975	112	42775	425
Minecraft Legends.jpg	119	114	119	300	0.04	0	0.46	0.02	523	0	0	24	1453	309	2102	1	3783	754	42477	723
Mineko's Night Market.jpg	87	83	111	248.57	0.25	0	0.38	0.14	5	0	0	0	0	0	0	0	10808	5435	43035	165
Mini Motorways.jpg	192	206	211	195.79	0.09	1	0.79	0.18	35	0	0	8	0	0	96	0	41	14684	42229	971
Mini Ninjas.jpg	136	158	43	71.48	0.73	1	0.39	0.57	495	2	0	4148	0	0	389	0	4613	462	43199	1
Mini Racing World.jpg	172	174	148	64.62	0.15	1	0.63	0.14	43	0	0	33	0	0	489	0	0	3621	42740	460
Minishoot Adventures.jpg	123	146	125	125.22	0.16	1	0.53	0.1	65	0	0	278	361	0	699	0	1789	2376	43040	160
Ministry of Broadcast.jpg	170	118	81	24.94	0.52	1	0.49	0.35	811	0	0	0	0	0	14218	0	7040	517	43102	98
Minoria.jpg	66	85	105	210.77	0.37	0	0.34	0.23	220	0	1	0	101	0	200	0	12472	3268	42640	560
Minute of Islands.jpg	154	169	164	160	0.09	1	0.63	0.08	0	0	0	478	0	0	57	0	3275	7334	42119	1081
Mirror's Edge - Catalyst.jpg	139	120	140	297	0.14	1	0.51	0.08	413	0	0	0	0	0	0	0	2129	9145	43032	168
Mirrors Edge.jpg	149	96	93	3.21	0.38	1	0.47	0.23	7140	0	0	0	7	0	366	0	12033	7913	42626	574
Mister Mosquito.jpg	160	122	86	29.19	0.46	1	0.48	0.3	2055	0	0	952	0	0	5486	0	1266	3175	43013	187
MO -Astray.jpg	51	78	96	204	0.47	0	0.29	0.31	0	0	0	126	0	0	5	0	6806	62	42979	221
ModNation Racers.jpg	152	139	137	8	0.1	1	0.57	0.07	1424	0	365	394	0	0	1384	23	4264	11554	41585	1615
Momodora - Reverie Under the Moonlight.jpg	131	99	106	346.88	0.24	1	0.45	0.14	1968	0	0	0	4	0	544	0	7253	5116	43089	111
Momodora Moonlit Farewell.jpg	191	177	120	48.17	0.37	1	0.61	0.36	3	0	0	6427	144	0	7146	0	1423	1743	42855	345
Monster Boy and the Cursed Kingdom.jpg	180	164	169	341.25	0.09	1	0.67	0.1	3532	0	298	105	619	0	459	0	59	12661	42799	401
Monster Crown.jpg	167	167	150	60	0.1	1	0.62	0.09	944	0	0	1894	1162	0	1185	0	852	7172	42971	229
Monster Hunter Freedom 2.jpg	185	184	189	252	0.03	1	0.73	0.04	1	0	0	21	0	0	60	0	3724	24464	40895	2305
Monster Hunter Freedom Unite.jpg	89	93	65	68.57	0.3	0	0.31	0.18	56	0	0	166	0	0	273	0	13199	2187	41955	1245
Monster Hunter Freedom.jpg	128	121	126	317.14	0.05	1	0.49	0.03	15	0	0	0	0	0	154	0	10090	11056	39875	3325
Monster Hunter Generations.jpg	103	107	96	81.82	0.1	0	0.4	0.05	603	0	0	1	0	0	1020	0	7269	3122	41229	1971
Monster Hunter Rise.jpg	79	81	76	84	0.06	0	0.31	0.03	0	0	0	6	0	0	7	0	16747	3071	41252	1948
Monster Hunter Stories 2 - Wings of Ruin.jpg	144	140	111	52.73	0.23	1	0.5	0.13	232	0	0	83	8	0	551	0	1240	3237	41332	1868
Monster Hunter Stories.jpg	144	138	129	36	0.1	1	0.54	0.06	325	0	1	94	33	0	570	1	939	6753	42409	791
Monster Hunter World.jpg	98	100	105	222.86	0.07	0	0.4	0.03	0	0	0	0	0	0	0	0	11927	4262	39393	3807
Monster Sanctuary.jpg	134	129	98	51.67	0.27	1	0.45	0.16	207	0	0	69	0	0	2898	0	525	2387	42045	1155
Monster Tale.jpg	151	107	95	12.86	0.37	1	0.48	0.23	2591	0	30	294	434	0	1499	0	50	603	42485	715
Monster Truck Madness 64.jpg	111	108	107	15	0.04	0	0.43	0.02	11	0	18	2	0	0	44	0	9623	5900	28902	14298
Moonleap.jpg	67	88	134	221.19	0.5	1	0.39	0.33	58	0	0	24	82	1	89	5	1583	97	43170	30
Moonlighter.jpg	112	136	125	152.5	0.18	1	0.49	0.1	0	6	0	0	459	0	0	0	1051	4733	41991	1209
Moonscars.jpg	20	17	17	0	0.15	0	0.07	0.08	0	0	0	0	0	0	0	0	39057	464	40953	2247
Morbid - The Seven Acolytes.jpg	51	36	26	24	0.49	0	0.15	0.32	0	0	0	0	0	0	0	0	26718	28	42048	1152
Mortal Kombat - Deadly Alliance.jpg	47	42	43	348	0.11	0	0.17	0.06	7	0	0	0	0	0	0	0	29038	2053	35087	8113
Mortal Kombat - Deception.jpg	88	59	30	30	0.66	0	0.23	0.49	33	0	0	242	0	0	1505	0	19845	1349	43081	119
Mortal Kombat - Shaolin Monks.jpg	74	42	28	18.26	0.62	0	0.2	0.45	341	0	0	4	0	0	705	0	21443	221	42956	244
Mortal Kombat 1.jpg	183	186	190	214.29	0.04	1	0.73	0.05	16	0	2	21	2	0	128	0	2088	25609	42626	574
Mortal Kombat 11.jpg	197	151	64	39.25	0.68	1	0.51	0.53	0	0	0	8930	0	0	9389	0	783	2675	43198	2
Mortal Kombat 4.jpg	53	41	25	34.29	0.53	0	0.15	0.36	27	0	0	5	0	0	365	0	28127	52	42730	470
Mortal Kombat Armageddon.jpg	148	106	106	0	0.28	1	0.5	0.17	530	0	0	7	0	0	370	0	4865	8369	40997	2203
Mortal Kombat Unchained.jpg	109	79	47	30.97	0.57	0	0.31	0.4	223	0	0	387	0	0	2150	0	15869	1740	43048	152
Mortal Kombat X.jpg	38	35	32	30	0.16	0	0.14	0.09	0	0	0	0	0	0	0	0	32662	2072	40892	2308
Mortal Kombat.jpg	97	76	67	18	0.31	0	0.32	0.18	199	0	0	0	6	0	730	0	14590	1195	42712	488
Mortal Shell.jpg	43	45	47	210	0.09	0	0.18	0.04	0	0	0	0	0	0	0	0	30015	519	38482	4718
