Index,Title,RED,GREEN,BLUE,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2,RGB AVG
1212,Mario Party DS,147.07,120.39,95.70,0.08,0.35,147.07,0.08,121.38,-0.21,121.05
160,Baldur's Gate,108.32,87.87,68.44,0.08,0.37,108.32,0.08,88.38,-0.23,88.21
1801,Seven - Enhanced Edition,86.24,69.21,54.63,0.08,0.37,86.24,0.08,70.43,-0.23,70.03
1175,Mad Max,95.44,76.46,59.99,0.08,0.37,95.44,0.08,77.72,-0.23,77.30
2232,The Saboteur,100.70,80.74,62.28,0.08,0.38,100.70,0.08,81.49,-0.24,81.24
1363,Naruto Shippuden - Ultimate Ninja Storm 3,120.12,96.63,74.32,0.08,0.38,120.12,0.08,97.22,-0.24,97.02
1604,Professor Layton and the Diabolical Box,148.90,118.73,91.81,0.08,0.38,148.90,0.08,120.36,-0.24,119.82
561,Dragon Ball Z - Shin Budokai - Another Road,115.03,92.57,70.54,0.08,0.39,115.03,0.08,92.78,-0.24,92.71
1580,Pokémon Sun,184.50,145.73,109.99,0.08,0.40,184.50,0.08,147.24,-0.25,146.74
730,Final Fantasy VIII,128.20,101.08,75.43,0.08,0.41,128.20,0.08,101.81,-0.26,101.57
2408,Untold Legends - The Warriors Code,134.35,106.24,79.05,0.08,0.41,134.35,0.08,106.70,-0.26,106.55
72,Amnesia - Rebirth,45.87,35.86,26.83,0.08,0.41,45.87,0.08,36.35,-0.27,36.19
1799,Serious Sam 2,75.66,60.23,44.66,0.08,0.41,75.66,0.08,60.16,-0.26,60.18
2411,Vagrus - The Riven Realms,132.45,104.09,76.90,0.08,0.42,132.45,0.08,104.68,-0.27,104.48
2318,Tooth and Tail,161.56,126.87,93.45,0.08,0.42,161.56,0.08,127.51,-0.27,127.29
257,Boris and the Dark Survival,81.66,64.18,47.56,0.08,0.42,81.66,0.08,64.61,-0.27,64.47
1832,Shenmue III,71.49,55.25,40.40,0.08,0.43,71.49,0.08,55.95,-0.28,55.72
429,Dark Cloud,106.23,82.40,59.05,0.08,0.44,106.23,0.08,82.64,-0.29,82.56
58,Alan Wake's American Nightmare,120.02,93.78,67.65,0.08,0.44,120.02,0.08,93.84,-0.28,93.82
786,Full Metal Furies,123.05,95.55,68.42,0.08,0.44,123.05,0.08,95.74,-0.29,95.67
2488,Wild Arms 3,152.51,117.71,86.01,0.08,0.44,152.51,0.08,119.26,-0.28,118.74
2473,Weird West,74.79,57.32,42.07,0.08,0.44,74.79,0.08,58.43,-0.28,58.06
1429,Nuts,61.66,47.45,34.19,0.08,0.45,61.66,0.08,47.92,-0.29,47.77
1300,Mister Mosquito,150.05,115.04,81.72,0.08,0.46,150.05,0.08,115.88,-0.30,115.60
2254,The Walking Dead Season 2,50.83,39.35,27.42,0.08,0.46,50.83,0.08,39.12,-0.31,39.20
0,007 - The World Is Not Enough,120.39,92.50,63.70,0.08,0.47,120.39,0.08,92.05,-0.31,92.20
2252,The Vagrant,96.16,72.92,50.75,0.08,0.47,96.16,0.08,73.45,-0.31,73.27
2201,The Lord of the Rings - The Battle for Middle-Earth,145.23,107.97,75.78,0.08,0.48,145.23,0.08,110.51,-0.32,109.66
2323,Total War - Rome 2,104.74,77.88,53.75,0.08,0.49,104.74,0.08,79.24,-0.33,78.79
1235,Max Payne 3,140.58,104.16,71.05,0.08,0.49,140.58,0.08,105.81,-0.33,105.26
1074,Kingdoms of Amalur Reckoning,147.47,108.91,75.67,0.08,0.49,147.47,0.08,111.57,-0.32,110.68
2016,Sunday Gold,119.31,89.43,59.87,0.08,0.50,119.31,0.08,89.59,-0.34,89.54
372,Conker's Bad Fur Day,46.85,34.24,23.27,0.08,0.50,46.85,0.08,35.06,-0.35,34.78
1813,Shadow of the Colossus,89.15,66.62,43.82,0.08,0.51,89.15,0.08,66.48,-0.35,66.53
1101,Legacy of Kain - Blood Omen,112.41,81.62,53.40,0.08,0.52,112.41,0.08,82.90,-0.36,82.48
562,Dragon Ball Z - Shin Budokai,126.19,93.19,60.82,0.08,0.52,126.19,0.08,93.51,-0.35,93.40
2045,Super Time Force,153.45,111.26,69.60,0.08,0.55,153.45,0.08,111.52,-0.38,111.44
1935,Spelunky,70.91,49.66,31.98,0.08,0.55,70.91,0.08,51.45,-0.39,50.85
1329,Mortal Kombat Unchained,102.21,74.05,45.24,0.08,0.56,102.21,0.08,73.72,-0.39,73.83
2533,XCOM Enemy Within,99.08,69.69,43.10,0.08,0.57,99.08,0.08,71.09,-0.40,70.62
1800,Serious Sam 4,143.45,101.22,60.91,0.08,0.58,143.45,0.08,102.18,-0.41,101.86
596,Dungeon Siege II - Broken World,145.70,100.56,60.75,0.08,0.58,145.70,0.08,103.23,-0.42,102.34
48,Age of Wonders 3,124.04,84.26,49.86,0.08,0.60,124.04,0.08,86.95,-0.43,86.05
270,Bright Bird,182.03,122.24,71.22,0.08,0.61,182.03,0.08,126.63,-0.44,125.16
1826,Shank,128.90,85.80,47.77,0.08,0.63,128.90,0.08,88.33,-0.46,87.49
863,Greedventory,66.82,44.46,24.66,0.08,0.63,66.82,0.08,45.74,-0.47,45.31
370,Commandos 2 - Men of Courage,75.02,51.03,28.05,0.08,0.63,75.02,0.08,51.53,-0.46,51.37
325,Cel Damage,155.92,101.35,54.46,0.08,0.65,155.92,0.08,105.19,-0.49,103.91
1323,Mortal Kombat - Deception,83.05,55.94,29.25,0.08,0.65,83.05,0.08,56.15,-0.49,56.08
1421,No One Lives Forever,190.26,120.75,63.82,0.08,0.66,190.26,0.08,127.04,-0.50,124.94
824,God of War - Chains of Olympus,122.26,77.14,38.82,0.08,0.68,122.26,0.08,80.54,-0.52,79.41
2396,Unreal 2 - The Awakening,160.22,101.74,49.84,0.08,0.69,160.22,0.08,105.03,-0.53,103.93
116,Ash of Gods Redemption,88.65,56.89,27.05,0.08,0.69,88.65,0.08,57.85,-0.54,57.53
890,Halo 2,115.59,69.22,30.40,0.08,0.74,115.59,0.08,73.00,-0.59,71.74
1381,Neversong,121.45,70.39,26.18,0.08,0.78,121.45,0.08,73.81,-0.65,72.67
754,Firewatch,167.41,94.09,23.29,0.08,0.86,167.41,0.08,95.35,-0.76,94.93
782,Frostpunk,113.07,111.80,110.41,0.09,0.02,113.07,0.09,111.74,-0.01,111.76
1548,Pillars of Eternity II Deadfire,184.96,183.60,181.93,0.09,0.02,184.96,0.09,183.45,-0.01,183.50
432,Dark Souls II,84.32,83.64,82.76,0.09,0.02,84.32,0.09,83.54,-0.01,83.57
721,Final Fantasy IX_2,158.36,156.31,153.89,0.09,0.03,158.36,0.09,156.12,-0.01,156.19
2025,Super Mario 3D All-Stars,135.77,132.31,128.39,0.09,0.05,135.77,0.09,132.08,-0.03,132.16
1259,Metal Gear Solid - Portable Ops,159.16,155.62,151.26,0.09,0.05,159.16,0.09,155.21,-0.03,155.34
285,Bushido Blade,196.64,192.05,186.87,0.09,0.05,196.64,0.09,191.76,-0.03,191.85
1203,Mario Kart 7,168.70,162.65,156.11,0.09,0.07,168.70,0.09,162.40,-0.04,162.48
810,Ghost of Tsushima,96.90,92.62,88.14,0.09,0.09,96.90,0.09,92.52,-0.05,92.55
1846,Shin Megami Tensei V,112.92,107.97,101.81,0.09,0.10,112.92,0.09,107.36,-0.05,107.57
888,Half-Minute Hero,180.10,171.27,161.44,0.09,0.10,180.10,0.09,170.77,-0.05,170.94
1191,Mario & Luigi - Paper Jam,206.35,195.41,183.60,0.09,0.11,206.35,0.09,194.97,-0.06,195.12
457,Deadbolt,31.83,30.07,28.19,0.09,0.11,31.83,0.09,30.01,-0.06,30.03
618,Ehrgeiz,140.08,131.98,123.02,0.09,0.12,140.08,0.09,131.55,-0.07,131.69
2112,Tenchu 2 - Birth of the Stealth Assassins,140.52,132.78,124.16,0.09,0.12,140.52,0.09,132.34,-0.06,132.49
1069,Kingdom Hearts - Re-Coded,185.81,175.28,161.99,0.09,0.13,185.81,0.09,173.90,-0.07,174.36
2080,Tales of Graces F,191.04,180.24,166.65,0.09,0.13,191.04,0.09,178.85,-0.07,179.31
1435,Octopath Traveler,103.72,96.85,88.52,0.09,0.15,103.72,0.09,96.12,-0.08,96.36
2158,The Forgotten City,82.09,76.76,70.06,0.09,0.15,82.09,0.09,76.08,-0.08,76.30
180,Batman Arkham Knight,84.00,78.18,71.42,0.09,0.15,84.00,0.09,77.71,-0.08,77.87
2089,TASOMACHI - Behind the Twilight,126.47,116.94,105.77,0.09,0.16,126.47,0.09,116.12,-0.09,116.39
2420,Valkyrie Profile,206.42,190.57,173.44,0.09,0.16,206.42,0.09,189.93,-0.09,190.14
1877,Skully,72.26,67.34,60.96,0.09,0.16,72.26,0.09,66.61,-0.09,66.85
1926,Space Station Silicon Valley,69.69,64.44,57.56,0.09,0.17,69.69,0.09,63.62,-0.10,63.90
1201,Mario Kart - Double Dash,104.04,95.52,85.62,0.09,0.18,104.04,0.09,94.83,-0.10,95.06
1819,Shadowrun Dragonfall,118.58,107.86,95.95,0.09,0.19,118.58,0.09,107.27,-0.11,107.47
1668,Record of Lodoss War Deedlit in Wonder Labyrinth,172.28,157.49,139.31,0.09,0.19,172.28,0.09,155.80,-0.11,156.36
2143,The Darkness II,119.48,107.99,95.42,0.09,0.20,119.48,0.09,107.45,-0.11,107.63
1539,Phoenix Wright Ace Attorney - Justice For All,178.35,161.20,141.96,0.09,0.20,178.35,0.09,160.16,-0.11,160.50
323,Catmaze,92.90,84.22,74.43,0.09,0.20,92.90,0.09,83.67,-0.11,83.85
783,FTL - Faster Than Light,71.79,64.74,56.63,0.09,0.21,71.79,0.09,64.21,-0.12,64.39
1861,Silent Hill Origins,140.18,126.12,109.80,0.09,0.22,140.18,0.09,124.99,-0.12,125.37
1495,Paperboy,140.64,126.83,110.20,0.09,0.22,140.64,0.09,125.42,-0.12,125.89
2326,Total War - Three Kingdoms,156.39,140.20,121.74,0.09,0.22,156.39,0.09,139.06,-0.13,139.44
996,Infamous,86.31,78.02,67.68,0.09,0.22,86.31,0.09,77.00,-0.12,77.34
359,Code Vein,92.39,83.40,71.66,0.09,0.22,92.39,0.09,82.02,-0.13,82.48
62,Alex Kidd in Miracle World DX,165.21,147.07,126.63,0.09,0.23,165.21,0.09,145.92,-0.13,146.30
1674,Red Faction II,167.33,148.65,128.32,0.09,0.23,167.33,0.09,147.82,-0.13,148.10
70,American Fugitive,177.25,157.98,137.15,0.09,0.23,177.25,0.09,157.20,-0.13,157.46
357,COCOON,75.25,66.71,57.71,0.09,0.23,75.25,0.09,66.48,-0.13,66.56
646,Etrian Odyssey II - Heroes of Lagaard,107.97,96.24,82.34,0.09,0.24,107.97,0.09,95.16,-0.14,95.52
1694,Resident Evil 7,179.97,159.17,136.25,0.09,0.24,179.97,0.09,158.11,-0.14,158.47
2522,Wulverblade,79.16,70.86,60.50,0.09,0.24,79.16,0.09,69.83,-0.14,70.17
2573,Zero Time Dilemma,77.69,68.41,58.15,0.09,0.25,77.69,0.09,67.92,-0.15,68.08
710,Final Fantasy Crystal Chronicles - Ring of Fates,166.55,145.37,123.04,0.09,0.26,166.55,0.09,144.79,-0.15,144.99
1626,Punch-Out!!,114.77,100.69,83.83,0.09,0.27,114.77,0.09,99.30,-0.16,99.76
662,Expeditions - Rome,157.28,138.26,115.13,0.09,0.27,157.28,0.09,136.21,-0.16,136.89
1369,Nebuchadnezzar,87.26,76.45,63.96,0.09,0.27,87.26,0.09,75.61,-0.16,75.89
1628,Pure,169.64,148.18,121.81,0.09,0.28,169.64,0.09,145.73,-0.17,146.55
385,Costume Quest,108.69,93.62,77.42,0.09,0.29,108.69,0.09,93.05,-0.17,93.24
1278,Metroid Prime,124.67,108.76,88.34,0.09,0.29,124.67,0.09,106.51,-0.17,107.26
1492,Paper Mario - The Thousand-Year Door,157.20,136.47,111.93,0.09,0.29,157.20,0.09,134.57,-0.17,135.20
744,Fire Emblem - Path Of Radiance,109.88,94.13,76.83,0.09,0.30,109.88,0.09,93.36,-0.18,93.62
2348,Trine 5 - A Clockwork Conspiracy,113.45,96.72,78.83,0.09,0.31,113.45,0.09,96.14,-0.18,96.33
368,Commandos - Behind Enemy Lines,60.11,51.10,41.64,0.09,0.31,60.11,0.09,50.87,-0.19,50.95
2095,Teenage Mutant Ninja Turtles - The Cowabunga Collection,93.69,80.29,64.29,0.09,0.31,93.69,0.09,78.99,-0.19,79.42
628,Empires of the Undergrowth,106.07,90.69,72.46,0.09,0.32,106.07,0.09,89.26,-0.19,89.74
282,Bulletstorm,120.10,101.82,79.99,0.09,0.33,120.10,0.09,100.04,-0.20,100.63
2312,Tomb Raider I II III Remastered Starring Lara Croft,67.79,57.86,45.40,0.09,0.33,67.79,0.09,56.59,-0.20,57.02
1649,Raji - An Ancient Epic,99.19,84.17,66.90,0.09,0.33,99.19,0.09,83.04,-0.20,83.42
997,Infected Shelter,102.51,85.72,67.99,0.09,0.34,102.51,0.09,85.25,-0.20,85.41
1156,Lotus Lantern - Rescue Mother,61.46,52.35,40.31,0.09,0.34,61.46,0.09,50.89,-0.21,51.38
80,Anna's Quest,82.24,68.95,54.50,0.09,0.34,82.24,0.09,68.37,-0.21,68.56
1607,Professor Layton and The Miracle Mask,126.81,106.75,82.11,0.09,0.35,126.81,0.09,104.46,-0.22,105.22
598,Dungeon Siege,75.55,62.54,48.78,0.09,0.35,75.55,0.09,62.16,-0.22,62.29
1849,Shiren the Wanderer,122.36,102.23,78.55,0.09,0.36,122.36,0.09,100.46,-0.22,101.05
107,Armored Core V,123.19,102.47,78.38,0.09,0.36,123.19,0.09,100.78,-0.22,101.35
644,Etrian Mystery Dungeon,153.20,125.97,95.84,0.09,0.37,153.20,0.09,124.52,-0.23,125.01
362,Cogs,58.48,48.06,36.85,0.09,0.37,58.48,0.09,47.66,-0.23,47.80
2191,The Legend of Zelda - Phantom Hourglass,148.00,122.35,91.49,0.09,0.38,148.00,0.09,119.74,-0.24,120.61
333,Chicago 1930,62.24,51.25,38.49,0.09,0.38,62.24,0.09,50.37,-0.24,50.66
563,Dragon Ball Z - Supersonic Warriors 2,125.01,101.30,76.45,0.09,0.39,125.01,0.09,100.73,-0.24,100.92
1017,It Takes Two,164.04,135.88,100.19,0.09,0.39,164.04,0.09,132.11,-0.24,133.37
1902,Solium Infernum,170.29,138.54,104.45,0.09,0.39,170.29,0.09,137.37,-0.24,137.76
1605,Professor Layton and the Last Specter,110.15,89.90,65.76,0.09,0.40,110.15,0.09,87.96,-0.26,88.60
1056,Kill It With Fire,167.04,135.78,99.98,0.09,0.40,167.04,0.09,133.51,-0.25,134.27
1894,Smelter,153.61,124.53,90.63,0.09,0.41,153.61,0.09,122.12,-0.26,122.92
2459,WarioWare Move It!,175.95,142.52,103.68,0.09,0.41,175.95,0.09,139.82,-0.26,140.72
2002,Stuntman Ignition,136.71,109.67,79.27,0.09,0.42,136.71,0.09,107.99,-0.27,108.55
533,DmC Devil May Cry,141.15,113.66,81.86,0.09,0.42,141.15,0.09,111.50,-0.27,112.22
880,Gunpey DS,168.73,137.84,98.13,0.09,0.42,168.73,0.09,133.43,-0.27,134.90
1557,PlateUp,171.59,137.36,100.27,0.09,0.42,171.59,0.09,135.93,-0.26,136.41
1632,Quake II,62.03,50.29,35.89,0.09,0.42,62.03,0.09,48.96,-0.27,49.40
1931,SpellForce - Conquest of Eo,103.85,83.45,59.66,0.09,0.43,103.85,0.09,81.76,-0.27,82.32
1586,Potion Craft Alchemist Simulator,143.38,113.43,80.93,0.09,0.44,143.38,0.09,112.15,-0.28,112.58
315,Castlevania Symphony of the Night,72.13,57.68,40.23,0.09,0.44,72.13,0.09,56.18,-0.29,56.68
941,Highly Likely,76.59,62.08,42.92,0.09,0.44,76.59,0.09,59.76,-0.29,60.53
1992,Strange Horticulture,81.93,63.82,44.06,0.09,0.46,81.93,0.09,62.99,-0.31,63.27
382,Corpse Keeper,62.07,47.68,32.28,0.09,0.48,62.07,0.09,47.18,-0.32,47.34
1934,Spelunky 2,91.85,71.56,48.05,0.09,0.48,91.85,0.09,69.95,-0.32,70.49
1373,Neighbors Back From Hell,114.84,87.36,58.63,0.09,0.49,114.84,0.09,86.74,-0.33,86.94
777,FRONT MISSION 1st - Remake,100.80,76.49,50.26,0.09,0.50,100.80,0.09,75.53,-0.34,75.85
2233,The Secret Saturdays - Beasts of the 5th Sun,111.75,87.73,56.24,0.09,0.50,111.75,0.09,83.99,-0.33,85.24
1057,Kill.Switch,118.99,92.76,59.76,0.09,0.50,118.99,0.09,89.38,-0.34,90.50
555,Dragon Ball FighterZ,163.41,125.19,81.26,0.09,0.50,163.41,0.09,122.34,-0.34,123.29
784,Fuga - Melodies of Steel 2,164.72,124.88,83.11,0.09,0.50,164.72,0.09,123.91,-0.33,124.24
1215,Mario Tennis,169.68,132.18,84.45,0.09,0.50,169.68,0.09,127.07,-0.34,128.77
2098,Teenage Mutant Ninja Turtles 3 - Mutant Nightmare,131.67,98.00,60.67,0.09,0.54,131.67,0.09,96.17,-0.37,96.78
230,Bleed 2,174.00,129.28,78.52,0.09,0.55,174.00,0.09,126.26,-0.38,127.26
1948,Spyro - Year of the Dragon,171.28,123.46,72.86,0.09,0.57,171.28,0.09,122.07,-0.41,122.53
1125,Like a Dragon - Ishin,145.99,107.46,61.64,0.09,0.58,145.99,0.09,103.81,-0.41,105.03
1382,Neverwinter Nights 2,20.58,14.97,8.63,0.09,0.58,20.58,0.09,14.60,-0.44,14.73
816,Giana Sisters - Twisted Dreams,142.08,103.81,58.52,0.09,0.59,142.08,0.09,100.30,-0.42,101.47
1901,Solatorobo - Red the Hunter,180.26,133.68,72.68,0.09,0.60,180.26,0.09,126.47,-0.43,128.88
1224,Marvel's Midnight Suns,92.20,67.92,36.77,0.09,0.60,92.20,0.09,64.49,-0.44,65.63
2547,Yakuza Like a Dragon,163.59,117.25,64.20,0.09,0.61,163.59,0.09,113.90,-0.44,115.01
1068,Kingdom Hearts - Re-Chain of Memories,64.96,47.41,25.03,0.09,0.61,64.96,0.09,45.00,-0.45,45.80
1547,Pilgrims,64.89,45.56,22.51,0.09,0.65,64.89,0.09,43.70,-0.50,44.32
2400,Unrooted,57.01,40.22,18.80,0.09,0.67,57.01,0.09,37.91,-0.52,38.68
2401,Unruly Heroes,162.16,113.03,51.09,0.09,0.68,162.16,0.09,106.62,-0.53,108.76
1036,Jet Li - Rise to Honor,61.03,41.25,19.25,0.09,0.68,61.03,0.09,40.14,-0.53,40.51
678,Fallout Tactics - Brotherhood of Steel,136.14,93.61,42.57,0.09,0.69,136.14,0.09,89.36,-0.53,90.78
200,Bendy and the Ink Machine,59.75,40.34,17.30,0.09,0.71,59.75,0.09,38.53,-0.57,39.13
90,Apotheon,74.33,47.35,19.25,0.09,0.74,74.33,0.09,46.79,-0.60,46.98
1509,Patapon,155.42,98.75,37.31,0.09,0.76,155.42,0.09,96.37,-0.62,97.16
1436,Oddworld - Abe's Exoddus,172.79,107.32,31.04,0.09,0.82,172.79,0.09,101.91,-0.70,103.71
226,Blast Brigade vs the Evil Legion of Dr. Cread,201.95,124.67,30.26,0.09,0.85,201.95,0.09,116.11,-0.75,118.96
1138,Live a Live,199.46,197.35,194.32,0.10,0.03,199.46,0.10,196.89,-0.01,197.05
2056,Syberia - The World Before,130.93,128.98,125.82,0.10,0.04,130.93,0.10,128.37,-0.02,128.57
467,Death's Door,78.70,77.28,75.37,0.10,0.04,78.70,0.10,77.04,-0.02,77.12
2480,What Remains of Edith Finch,144.64,140.94,135.43,0.10,0.06,144.64,0.10,140.04,-0.03,140.34
1751,Runner3,82.33,80.29,77.01,0.10,0.06,82.33,0.10,79.67,-0.03,79.87
1757,Sackboy - A Big Adventure,121.67,117.89,111.76,0.10,0.08,121.67,0.10,116.71,-0.04,117.10
1636,R Type Command,167.41,160.92,152.22,0.10,0.09,167.41,0.10,159.82,-0.05,160.18
1189,Mario & Luigi - Bowser's Inside Story,202.04,194.37,183.91,0.10,0.09,202.04,0.10,192.98,-0.05,193.44
2047,Super Woden GP,202.16,195.07,183.41,0.10,0.09,202.16,0.10,192.79,-0.05,193.55
681,Far Cry 3,105.72,101.63,95.49,0.10,0.10,105.72,0.10,100.61,-0.05,100.95
1313,Monster Hunter Stories,135.24,130.05,121.31,0.10,0.10,135.24,0.10,128.28,-0.05,128.87
1398,NieR Replicant,136.68,130.55,121.91,0.10,0.11,136.68,0.10,129.30,-0.06,129.71
733,Final Fantasy V,202.71,192.76,177.75,0.10,0.12,202.71,0.10,190.23,-0.07,191.07
1501,PaRappa the Rapper 2,177.48,168.42,153.73,0.10,0.13,177.48,0.10,165.61,-0.07,166.55
2246,The Talos Principle,58.54,55.42,51.17,0.10,0.13,58.54,0.10,54.86,-0.07,55.04
743,Finding Paradise,156.78,147.34,132.77,0.10,0.15,156.78,0.10,144.77,-0.08,145.63
847,Grand Theft Auto - San Andreas,113.29,105.77,94.86,0.10,0.16,113.29,0.10,104.07,-0.09,104.64
278,Brothers in Arms DS,119.04,110.92,98.64,0.10,0.17,119.04,0.10,108.84,-0.09,109.53
1330,Mortal Kombat X,35.99,33.58,29.97,0.10,0.17,35.99,0.10,32.98,-0.09,33.18
2042,Super Smash Bros. Melee,145.35,134.84,119.34,0.10,0.18,145.35,0.10,132.34,-0.10,133.17
2154,The Fabulous Fear Machine,65.39,60.84,53.31,0.10,0.18,65.39,0.10,59.35,-0.10,59.85
1502,Parasite Eve II,136.21,124.35,108.44,0.10,0.20,136.21,0.10,122.32,-0.11,123.00
1597,Prince of Persia - The Two Thrones,150.24,138.42,119.45,0.10,0.20,150.24,0.10,134.84,-0.12,136.04
909,Harvest Moon - The Tale of Two Towns,167.80,155.37,134.67,0.10,0.20,167.80,0.10,151.24,-0.11,152.61
2328,Total War Saga - Thrones of Britannia,75.82,69.35,60.73,0.10,0.20,75.82,0.10,68.28,-0.11,68.63
85,Another World,111.57,101.86,88.56,0.10,0.21,111.57,0.10,100.06,-0.12,100.66
2504,Withering Rooms,39.92,36.62,31.13,0.10,0.22,39.92,0.10,35.53,-0.13,35.89
86,Ape Escape,118.84,106.76,89.45,0.10,0.25,118.84,0.10,104.14,-0.14,105.02
1717,RiMe,17.73,15.96,13.32,0.10,0.25,17.73,0.10,15.52,-0.15,15.67
1652,Ratchet & Clank - Size Matters,103.20,92.23,76.73,0.10,0.26,103.20,0.10,89.96,-0.15,90.72
503,Diddy Kong Racing,113.80,102.08,84.00,0.10,0.26,113.80,0.10,98.90,-0.15,99.96
1560,Point Blank DS,199.86,178.70,146.48,0.10,0.27,199.86,0.10,173.17,-0.16,175.01
1777,Sands of Salzaar,137.96,121.80,99.10,0.10,0.28,137.96,0.10,118.53,-0.17,119.62
1749,Rune Factory 4,173.87,154.10,125.90,0.10,0.28,173.87,0.10,149.88,-0.16,151.29
355,Cloud Gardens,126.58,111.96,90.46,0.10,0.29,126.58,0.10,108.52,-0.17,109.67
906,Harvest Moon - Grand Bazaar,166.11,146.12,116.02,0.10,0.30,166.11,0.10,141.07,-0.18,142.75
574,Dragon Quest VII - Fragments of the Forgotten Past,124.48,108.72,85.69,0.10,0.31,124.48,0.10,105.08,-0.19,106.29
2498,Wind Peaks,172.30,149.96,116.47,0.10,0.32,172.30,0.10,144.39,-0.19,146.24
1425,Nobody Saves the World,107.41,92.88,71.93,0.10,0.33,107.41,0.10,89.67,-0.20,90.74
1171,Luxor - Pharaoh's Challenge,123.91,108.76,83.00,0.10,0.33,123.91,0.10,103.45,-0.20,105.22
2410,Vagrant Story,130.12,113.64,87.08,0.10,0.33,130.12,0.10,108.60,-0.20,110.28
2005,Submerged,133.26,116.31,89.81,0.10,0.33,133.26,0.10,111.54,-0.20,113.13
817,Giants Citizen Kabuto,94.90,81.72,63.92,0.10,0.33,94.90,0.10,79.41,-0.20,80.18
1977,Steambot Chronicles,150.87,129.39,99.95,0.10,0.34,150.87,0.10,125.41,-0.20,126.74
807,Gex,144.02,122.39,92.35,0.10,0.36,144.02,0.10,118.19,-0.22,119.59
100,Armored Core - For Answer,105.93,89.93,66.84,0.10,0.37,105.93,0.10,86.38,-0.23,87.57
2094,Teenage Mutant Ninja Turtles - Shredder's Revenge,154.86,130.50,98.06,0.10,0.37,154.86,0.10,126.46,-0.23,127.81
891,Halo 3,73.32,62.92,45.87,0.10,0.37,73.32,0.10,59.60,-0.23,60.70
844,Grand Knights History,144.87,123.76,89.62,0.10,0.38,144.87,0.10,117.25,-0.24,119.42
43,Against the Storm,86.26,73.67,53.90,0.10,0.38,86.26,0.10,70.08,-0.23,71.28
832,Godstrike,93.27,78.87,57.54,0.10,0.38,93.27,0.10,75.40,-0.24,76.56
1603,Professor Layton and the Curious Village,127.64,107.52,78.41,0.10,0.39,127.64,0.10,103.03,-0.24,104.52
2541,Yakuza 2 - Kiwami,67.48,56.86,40.93,0.10,0.39,67.48,0.10,54.20,-0.25,55.09
296,Call of the Sea,75.10,63.85,45.48,0.10,0.39,75.10,0.10,60.29,-0.25,61.48
108,Armored Core,102.33,86.60,61.35,0.10,0.40,102.33,0.10,81.84,-0.25,83.43
225,Blasphemous,127.57,105.60,74.76,0.10,0.41,127.57,0.10,101.16,-0.26,102.64
827,God of War Ascension,156.36,130.74,91.83,0.10,0.41,156.36,0.10,124.09,-0.26,126.31
818,Gibbon Beyond the Trees,192.63,163.24,114.22,0.10,0.41,192.63,0.10,153.42,-0.26,156.70
1040,Journey,203.93,168.13,119.00,0.10,0.42,203.93,0.10,161.47,-0.26,163.69
840,Good Company,153.80,127.13,87.24,0.10,0.43,153.80,0.10,120.52,-0.28,122.72
1165,Luna - The Shadow Dust,131.20,110.05,74.05,0.10,0.44,131.20,0.10,102.63,-0.28,105.10
286,Bust-a-Move DS,157.58,127.76,88.16,0.10,0.44,157.58,0.10,122.87,-0.28,124.50
1464,Onimusha 3 Demon Siege,89.34,73.72,50.36,0.10,0.44,89.34,0.10,69.85,-0.28,71.14
1788,Sea Horizon,120.02,97.51,61.69,0.10,0.49,120.02,0.10,90.85,-0.32,93.07
2291,Tiny Glade,162.18,128.74,83.21,0.10,0.49,162.18,0.10,122.70,-0.32,124.71
290,Caesar IV,115.98,92.32,57.51,0.10,0.50,115.98,0.10,86.74,-0.34,88.60
254,Borderlands 2,145.50,115.40,72.52,0.10,0.50,145.50,0.10,109.01,-0.34,111.14
914,Haven Park,165.30,132.85,83.17,0.10,0.50,165.30,0.10,124.23,-0.33,127.11
1327,Mortal Kombat 4,49.67,38.92,24.02,0.10,0.52,49.67,0.10,36.85,-0.36,37.54
394,Crash Bandicoot,90.25,70.56,43.70,0.10,0.52,90.25,0.10,66.97,-0.35,68.17
404,Creature in the Well,134.51,106.57,63.31,0.10,0.53,134.51,0.10,98.91,-0.36,101.46
1064,Kingdom Come Deliverance,85.00,67.89,40.00,0.10,0.53,85.00,0.10,62.50,-0.37,64.30
1762,Saints Row 2,172.46,132.94,79.32,0.10,0.54,172.46,0.10,125.89,-0.37,128.24
689,Fear and Hunger 2 Termina,142.08,111.50,63.25,0.10,0.55,142.08,0.10,102.67,-0.39,105.61
523,Disney's Kim Possible - What's the Switch,86.57,68.27,38.99,0.10,0.55,86.57,0.10,62.78,-0.39,64.61
331,Chants of Sennaar,205.32,154.14,79.50,0.10,0.61,205.32,0.10,142.41,-0.44,146.32
1372,Need for Speed Undercover,111.55,82.37,42.59,0.10,0.62,111.55,0.10,77.07,-0.45,78.84
1027,Jak 3,113.52,84.30,42.73,0.10,0.62,113.52,0.10,78.12,-0.46,80.18
1092,Lair of the Clockwork God,193.21,145.53,73.21,0.10,0.62,193.21,0.10,133.21,-0.45,137.32
489,Deus Ex - Human Revolution,73.70,55.51,26.81,0.10,0.64,73.70,0.10,50.26,-0.48,52.01
