Index,Title,RED,GREEN,BLUE,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2,RGB AVG
1187,Manhunt,81.99,79.12,78.88,0.01,0.04,81.99,0.01,80.43,-0.02,80.00
1884,Slay the Princess,99.35,95.36,95.19,0.01,0.04,99.35,0.01,97.27,-0.02,96.63
334,Chicken Police - Paint it RED!,61.37,58.65,58.46,0.01,0.05,61.37,0.01,59.92,-0.02,59.49
1613,Prototype 2,147.10,138.33,138.04,0.01,0.06,147.10,0.01,142.57,-0.03,141.16
1234,Max Payne 2 - The Fall of Max Payne,152.85,144.51,144.19,0.01,0.06,152.85,0.01,148.52,-0.03,147.18
346,Circuit Superstars,107.69,100.08,99.53,0.01,0.08,107.69,0.01,103.61,-0.04,102.44
1598,Prince of Persia - Warrior Within,83.06,75.21,74.93,0.01,0.10,83.06,0.01,78.99,-0.05,77.73
1829,Shantae and the Pirates Curse,156.18,140.25,139.11,0.01,0.11,156.18,0.01,147.64,-0.06,145.18
227,Blast Corps,110.63,97.99,97.04,0.01,0.12,110.63,0.01,103.83,-0.07,101.89
1504,Partisans 1941,51.29,45.59,45.10,0.01,0.12,51.29,0.01,48.20,-0.07,47.33
150,Axiom Verge 2,151.75,129.64,127.97,0.01,0.16,151.75,0.01,139.86,-0.09,136.46
575,Dragon Quest VIII - Journey of the Cursed King,113.72,95.10,94.05,0.01,0.17,113.72,0.01,103.88,-0.10,100.96
390,Crash Bandicoot - The Wrath of Cortex,86.18,72.88,71.75,0.01,0.17,86.18,0.01,78.97,-0.09,76.94
771,Freedom Fighters,139.48,114.40,113.47,0.01,0.19,139.48,0.01,126.48,-0.10,122.45
1524,Persona 2 - Eternal Punishment,142.97,116.85,115.65,0.01,0.19,142.97,0.01,129.31,-0.11,125.15
2487,Wild Arms 2,112.70,91.08,90.06,0.01,0.20,112.70,0.01,101.38,-0.11,97.95
778,FRONT MISSION 2 - Remake,66.96,53.71,53.30,0.01,0.20,66.96,0.01,60.13,-0.12,57.99
1419,No More Heroes,140.43,113.51,110.99,0.01,0.21,140.43,0.01,125.71,-0.12,121.64
2475,Werewolf - The Apocalypse - Earthblood,122.15,97.12,95.81,0.01,0.22,122.15,0.01,108.98,-0.12,105.03
554,Dragon Age Origins,163.20,129.13,127.85,0.01,0.22,163.20,0.01,145.53,-0.12,140.06
850,Grand Theft Auto 3,115.10,89.97,88.46,0.01,0.23,115.10,0.01,101.78,-0.13,97.84
2418,Valkyrie Profile - Covenant of the Plume,126.98,99.15,97.36,0.01,0.23,126.98,0.01,112.17,-0.13,107.83
1220,Marvel Ultimate Alliance 2,125.44,98.15,95.66,0.01,0.24,125.44,0.01,110.55,-0.14,106.42
2051,Supraland,158.33,120.65,118.97,0.01,0.25,158.33,0.01,138.65,-0.14,132.65
