Name,r,g,b,hue,sat_1,value,lumo,Custom Order,sat_2,red,green,blue,yellow,cyan,magenta,orange,indigo,black,white,unknown,grey
Echochrome,248,248,248,-1,0,1,0.97,A,0,0,0,0,0,0,0,0,0,374,41580,41954,1246
Disaster Band,228,228,228,-1,0,1,0.89,A,0,0,0,0,0,0,0,0,0,1454,38172,39626,3574
Final Fantasy IV - The Complete Collection,225,225,225,-1,0,1,0.88,A,0,0,0,0,0,0,0,0,0,1263,33901,35164,8036
The Unfinished Swan,212,212,210,-1,0.01,1,0.83,A,0.02,0,0,0,7,0,0,233,0,5284,33966,40045,3155
Hitman,208,208,208,-1,0,1,0.82,A,0,0,0,0,0,0,0,0,0,2226,33530,38012,5188
West of Loathing,210,210,210,-1,0,1,0.82,A,0,0,0,0,0,0,0,0,0,3651,33646,37297,5903
Hidden Folks,205,205,205,-1,0,1,0.8,A,0,0,0,0,0,0,0,0,0,153,26217,26370,16830
The Shattering,201,201,201,-1,0,1,0.79,A,0,0,0,0,0,0,0,0,0,3252,31367,34787,8413
Batman - The TellTale Series,198,198,198,-1,0,1,0.78,A,0,0,0,0,0,0,0,0,0,7136,32388,39524,3676
Blanc,191,191,191,-1,0,1,0.75,A,0,0,0,0,0,0,0,0,0,4889,29182,34071,9129
Final Fantasy Tactics,191,190,190,-1,0.01,1,0.75,A,0.01,0,0,0,0,0,0,0,0,1247,21291,32621,10579
Drakengard 2,199,194,194,0,0.03,1,0.77,A,0.04,1106,0,0,102,0,0,313,0,1356,25865,42523,677
Grandia,196,189,189,0,0.04,1,0.75,A,0.06,0,0,0,0,0,0,0,0,803,26534,39517,3683
Kingdom Hearts - Melody of Memory,174,158,158,0,0.09,1,0.65,A,0.09,40,0,0,0,14,0,12,0,1553,17858,38504,4696
Darksiders - Genesis,164,158,158,0,0.04,1,0.63,A,0.03,1,0,0,0,0,0,4,0,4445,21083,38420,4780
Scarlet Nexus,165,157,157,0,0.05,1,0.63,A,0.04,11,0,0,0,0,0,37,0,4447,17503,40603,2597
Max Payne 2 - The Fall of Max Payne,163,154,154,0,0.06,1,0.62,A,0.05,868,0,0,0,0,0,0,0,13500,24258,40808,2392
The Evil Within,163,151,151,0,0.07,1,0.62,A,0.06,155,0,0,0,0,0,0,0,8320,20601,33096,10104
Fights in Tight Spaces,170,139,139,0,0.18,1,0.61,A,0.15,5726,0,0,25,0,0,68,0,11955,19236,40644,2556
Prototype 2,157,147,147,0,0.06,1,0.6,A,0.05,19,0,0,0,0,0,0,0,7902,20025,36323,6877
Syberia 2,155,148,148,0,0.05,1,0.59,A,0.03,0,0,0,0,0,0,0,0,4210,13793,30091,13109
Dreamfall - The Longest Journey,167,128,128,0,0.23,1,0.58,A,0.18,210,0,0,0,0,0,49,0,5695,11427,42154,1046
Skullgirls_2,156,131,131,0,0.16,1,0.56,A,0.11,115,0,0,0,0,0,2,0,3131,6369,41915,1285
LEGO City Undercover,142,137,137,0,0.04,1,0.55,A,0.02,1263,0,0,375,2,0,286,0,2374,6730,38435,4765
Project Nimbus,151,130,130,0,0.14,1,0.55,A,0.09,45,0,0,0,0,0,1,0,1481,7702,41220,1980
Infamous - Festival of Blood,142,134,134,0,0.06,1,0.54,A,0.03,33,0,0,0,0,0,0,0,14997,20212,41394,1806
Final Fantasy IV Advance,140,125,125,0,0.11,1,0.52,A,0.06,0,0,0,0,0,0,0,0,3587,6051,41624,1576
God of War,137,129,129,0,0.06,1,0.52,A,0.03,7,0,0,0,0,0,95,0,3030,4424,41265,1935
Tom Clancy's Splinter Cell - Double Agent,134,132,132,0,0.01,1,0.52,A,0.01,0,0,0,0,0,0,0,0,17094,19487,37594,5606
Love Esquire,206,180,177,6.21,0.14,1,0.75,A,0.23,144,0,0,0,0,0,121,0,337,21170,42151,1049
Mario Kart DS,206,198,197,6.67,0.04,1,0.79,A,0.08,930,0,76,0,0,0,7,0,2162,29147,39499,3701
Yaga,204,196,195,6.67,0.04,1,0.78,A,0.08,167,0,0,0,0,0,0,0,865,25521,33067,10133
Dreamfall Chapters,207,188,185,8.18,0.11,1,0.77,A,0.19,0,0,0,0,0,0,0,0,0,26197,43049,151
Final Fantasy XIII-2,196,189,187,13.33,0.05,1,0.75,A,0.07,0,0,0,0,0,0,0,0,2574,25597,40893,2307
Power Stone Collection,209,180,169,16.5,0.19,1,0.74,A,0.3,3129,137,13,1282,14,0,1056,0,340,22691,42494,706
Dragon Ball Z - Sagas,207,188,180,17.78,0.13,1,0.76,A,0.22,1323,0,0,799,0,0,688,0,639,24075,37872,5328
Resistance 3,235,173,140,20.84,0.4,1,0.74,A,0.7,12975,0,0,0,0,0,202,0,1043,24828,43168,32
Final Fantasy_2,219,208,201,23.33,0.08,1,0.82,A,0.2,524,0,0,238,14,0,516,0,30,26194,42685,515
Super Mario RPG,218,184,162,23.57,0.26,1,0.75,A,0.43,3297,0,285,1962,60,3,2213,5,186,19926,43028,172
Night in the Woods,213,210,208,24,0.02,1,0.83,A,0.06,5,0,0,0,0,0,0,0,3169,32875,42316,884
Chrono Trigger,228,223,219,26.67,0.04,1,0.88,A,0.14,1,0,0,2,0,0,13,0,279,32943,41877,1323
Final Fantasy II,213,203,194,28.42,0.09,1,0.8,A,0.18,155,0,1,121,0,0,1031,0,146,23448,42496,704
When the Past was Around,200,189,179,28.57,0.11,1,0.74,A,0.16,0,0,0,0,0,0,3,0,19,19012,41031,2169
The Last Story,228,226,224,30,0.02,1,0.89,A,0.07,0,0,0,0,0,0,0,0,740,34365,39779,3421
Final Fantasy IV,228,220,212,30,0.07,1,0.86,A,0.23,335,0,26,876,0,0,600,9,1096,32236,42105,1095
State of Mind,225,214,203,30,0.1,1,0.84,A,0.27,38,0,0,2,0,0,2615,0,474,29783,38064,5136
Mario & Luigi - Paper Jam,220,208,196,30,0.11,1,0.82,A,0.26,664,0,1,133,0,0,2023,0,926,28953,42517,683
Valkyrie Profile,220,203,184,31.67,0.16,1,0.79,A,0.34,313,0,0,6,0,0,1355,0,1352,22412,42014,1186
Bushido Blade,210,205,199,32.73,0.05,1,0.8,A,0.11,0,0,0,0,0,0,0,0,2990,28891,40608,2592
Mario & Luigi - Bowser's Inside Story,216,207,196,33,0.09,1,0.81,A,0.2,744,0,0,247,0,0,620,0,2210,29344,42686,514
Tales of Graces F,204,192,177,33.33,0.13,1,0.75,A,0.21,364,0,0,70,4,0,86,0,66,12971,42331,869
Super Woden GP,216,208,196,36,0.09,1,0.81,A,0.2,34,0,0,2199,0,0,137,0,3624,31409,40348,2852
Final Fantasy V,216,206,190,36.92,0.12,1,0.8,A,0.25,177,0,0,762,0,0,472,0,1218,23920,42262,938
Tiny Lands,211,205,194,38.82,0.08,1,0.79,A,0.16,6,0,0,7,0,0,121,0,7,27047,42277,923
Live a Live,213,211,207,40,0.03,1,0.82,A,0.07,164,0,0,0,0,0,13,0,1829,29917,40317,2883
Pillars of Eternity II Deadfire,197,196,194,40,0.02,1,0.77,A,0.03,1,0,0,0,0,0,0,0,515,24505,40441,2759
Scribblenauts,224,219,208,41.25,0.07,1,0.85,A,0.21,893,0,0,260,15,0,280,0,39,29543,42154,1046
The Elder Scrolls IV - Oblivion,210,203,187,41.74,0.11,1,0.78,A,0.2,0,0,0,0,0,0,0,0,955,24449,43153,47
Super Mario Sunshine,196,192,180,45,0.08,1,0.74,A,0.12,603,1,0,533,39,0,227,0,224,20591,42456,744
Golden Lap,221,213,177,49.09,0.2,1,0.78,A,0.39,0,0,0,237,0,0,1490,0,15,14218,43200,0
I am Setsuna,228,226,215,50.77,0.06,1,0.87,A,0.19,7,0,0,1,0,0,176,0,395,29589,42585,615
Final Fantasy III,216,215,207,53.33,0.04,1,0.83,A,0.1,89,0,0,104,0,0,662,0,6,24092,42883,317
ObsCure,203,202,191,55,0.06,1,0.77,A,0.1,10,0,0,0,0,0,0,0,2365,28149,43090,110
Sacred,204,203,188,56.25,0.08,1,0.77,A,0.14,0,0,0,2,0,0,3,0,2277,26907,41339,1861
Sable,211,211,202,60,0.04,1,0.81,A,0.09,61,0,0,0,0,0,0,0,1914,32353,43159,41
Tales of Xillia,203,204,197,68.57,0.03,1,0.79,A,0.06,1,0,0,7,0,0,56,0,392,21347,42416,784
Etrian Odyssey Untold The Millennium Girl,211,213,210,100,0.01,1,0.83,A,0.03,0,0,0,0,0,0,0,0,511,26299,41745,1455
Wii Sports,180,198,177,111.43,0.11,1,0.74,A,0.16,0,0,0,63,78,0,108,0,1575,20583,42096,1104
Eiyuden Chronicle - Rising,211,214,211,120,0.01,1,0.83,A,0.04,59,0,0,2,3,0,33,0,192,27913,42628,572
Suikoden III,189,193,191,150,0.02,1,0.75,A,0.03,0,0,0,0,0,0,1,0,2062,23532,39795,3405
Quantum Break,204,207,206,160,0.01,1,0.81,A,0.03,0,0,0,0,0,0,0,0,2031,29436,40433,2767
Mario & Luigi - Dream Team,200,203,202,160,0.01,1,0.79,A,0.03,401,0,0,7,11,0,196,0,1061,26717,42876,324
Final Fantasy Crystal Chronicles - Echoes of Time,182,195,191,161.54,0.07,1,0.74,A,0.1,0,0,0,24,0,0,26,0,486,17686,41648,1552
Picross 3D,215,223,224,186.67,0.04,1,0.86,A,0.13,25,0,0,0,6,0,290,0,31,33134,43137,63
OneShot,213,218,219,190,0.03,1,0.85,A,0.08,0,0,0,0,285,0,0,0,0,40176,42064,1136
Mosaic,189,214,222,194.55,0.15,1,0.81,A,0.33,0,0,0,0,0,0,0,0,200,16493,43200,0
Mini Motorways,192,206,211,195.79,0.09,1,0.79,A,0.18,35,0,0,8,0,0,96,0,41,14684,42229,971
Ibb & Obb,181,210,221,196.5,0.18,1,0.79,A,0.37,128,12,0,0,4677,0,0,0,245,24736,43082,118
Final Fantasy VII,192,199,203,201.82,0.05,1,0.77,A,0.1,0,0,0,1,0,0,0,0,1779,26934,41838,1362
Blue Dragon Plus,207,211,214,205.71,0.03,1,0.83,A,0.08,0,0,0,0,9,0,39,0,1589,30465,41411,1789
Final Fantasy Explorers,220,225,229,206.67,0.04,1,0.88,A,0.15,0,0,0,0,2,0,0,0,1315,33889,42719,481
Endless Legend,183,195,205,207.27,0.11,1,0.76,A,0.18,0,0,0,0,0,0,0,0,1336,20571,42794,406
SSX 3,180,187,202,220.91,0.11,1,0.75,A,0.17,1359,0,0,0,0,0,328,0,354,20429,42899,301
OMORI,201,202,206,228,0.02,1,0.8,A,0.05,0,0,0,0,0,0,0,0,3529,32909,39193,4007
One Step from Eden,198,198,203,240,0.02,1,0.79,A,0.05,0,0,0,0,36,1,0,0,99,25664,42239,961
Legacy of Ys - Books I & II,226,225,228,260,0.01,1,0.89,A,0.05,0,0,0,63,0,0,339,0,0,34908,43115,85
Chicory - A Colorful Tale,188,185,194,260,0.05,1,0.74,A,0.07,3,0,2,10,0,0,7,8,3035,22187,40590,2610
Extermination,198,187,204,278.82,0.08,1,0.77,A,0.14,0,0,0,0,0,0,0,0,768,28259,42973,227
Neva,212,187,204,319.2,0.12,1,0.78,A,0.23,0,0,0,0,0,0,0,0,0,24051,43194,6
Detention,204,201,203,320,0.01,1,0.79,A,0.03,19,0,0,0,0,0,0,0,3822,30214,35928,7272
Active DBG Braves Rage,222,208,216,325.71,0.06,1,0.84,A,0.18,174,0,0,0,12,0,33,0,354,29374,42701,499
FAR Lone Sails,191,189,190,330,0.01,1,0.75,A,0.02,0,0,0,0,0,0,0,0,2694,27779,32811,10389
Haunting Ground,193,187,190,330,0.03,1,0.75,A,0.05,0,0,0,0,0,0,0,0,612,23453,35478,7722
SUPERHOT - MIND CONTROL DELETE,212,189,195,344.35,0.11,1,0.79,A,0.21,174,0,0,0,0,0,0,0,1,26014,42194,1006
That Flipping Mountain,236,162,165,357.57,0.31,1,0.78,A,0.66,4074,0,0,0,0,0,2,0,0,18716,43197,3
Solatorobo - Red the Hunter,192,142,76,34.14,0.6,1,0.53,B,0.48,328,0,0,7296,0,0,7893,0,2380,3948,43159,41
Blacksad - Under the Skin,173,125,61,34.29,0.65,1,0.46,B,0.48,419,0,0,2297,0,0,7914,0,1283,1803,42726,474
Mortal Kombat 4,53,41,25,34.29,0.53,0,0.15,B,0.36,27,0,0,5,0,0,365,0,28127,52,42730,470
Bust-a-Move DS,168,136,93,34.4,0.45,1,0.51,B,0.3,2202,166,0,2106,2827,0,5627,1,29,2129,42971,229
Teenage Mutant Ninja Turtles - Shredder's Revenge,165,139,104,34.43,0.37,1,0.53,B,0.25,56,0,0,2083,3,0,3295,2,501,2543,42369,831
Saints Row 2,184,141,83,34.46,0.55,1,0.52,B,0.42,393,0,0,1090,0,0,7042,0,2697,5793,41907,1293
Metal Gear Solid 3 - Snake Eater,127,90,40,34.48,0.69,0,0.33,B,0.52,591,0,0,2283,0,0,6636,0,14160,2316,42830,370
Giants Citizen Kabuto,101,87,68,34.55,0.33,0,0.33,B,0.2,12,0,0,4,0,0,2,0,10657,634,42509,691
Tiny Glade,173,137,88,34.59,0.49,1,0.51,B,0.34,0,0,0,16,0,0,1471,0,2,2440,43187,13
Hollow Knight_2,134,115,89,34.67,0.34,1,0.44,B,0.2,0,0,0,0,0,0,16,0,9509,870,41946,1254
Blasphemous,136,112,79,34.74,0.42,1,0.42,B,0.27,0,0,0,2,0,0,92,0,7056,157,43125,75
Crash Bandicoot,96,75,46,34.8,0.52,0,0.28,B,0.35,1198,0,0,3102,0,0,281,0,15712,2274,39803,3397
Mario vs. Donkey Kong - Mini-Land Mayhem,180,128,56,34.84,0.69,1,0.46,B,0.53,1255,0,0,6634,0,0,11166,0,3287,1010,42947,253
Guacamelee,160,116,55,34.86,0.66,1,0.42,B,0.49,9,0,0,644,0,0,3759,0,541,7,43183,17
Need for Speed Undercover,119,88,45,34.86,0.62,0,0.32,B,0.45,9,0,0,33,0,0,6201,0,14978,1470,42589,611
Steambot Chronicles,161,138,106,34.91,0.34,1,0.52,B,0.23,2,0,0,92,0,0,1100,0,75,3353,42068,1132
Gex,153,130,98,34.91,0.36,1,0.49,B,0.22,3043,0,493,2413,0,0,3864,1,2661,4922,40812,2388
Journey,217,179,126,34.95,0.42,1,0.67,B,0.54,0,0,0,0,0,0,4738,0,0,2507,43200,0
Shin Megami Tensei V,120,115,108,35,0.1,0,0.45,B,0.05,13,0,138,0,0,0,16,0,7017,5240,40428,2772
Skully,77,72,65,35,0.16,0,0.28,B,0.08,126,0,0,29,28,0,96,0,19731,3614,41631,1569
Highly Likely,81,66,45,35,0.44,0,0.25,B,0.29,0,0,0,96,0,0,1280,0,24052,64,41325,1875
Professor Layton and the Curious Village,136,114,83,35.09,0.39,1,0.43,B,0.24,25,0,0,0,0,0,819,0,2301,3310,43025,175
Ratchet & Clank - Size Matters,110,98,81,35.17,0.26,0,0.37,B,0.15,24,0,0,204,139,0,1169,0,7045,3332,41795,1405
Yakuza 2 - Kiwami,72,60,43,35.17,0.4,0,0.23,B,0.25,43,0,0,0,0,0,28,0,22005,1822,42475,725
Rune Factory 4,185,164,134,35.29,0.28,1,0.63,B,0.27,237,0,0,5,0,0,50,0,31,4440,42897,303
Hidden in Plain Sight,69,46,13,35.36,0.81,0,0.16,B,0.68,0,0,0,0,0,0,0,0,7492,94,43070,130
Cloud Gardens,135,119,96,35.38,0.29,1,0.45,B,0.17,0,0,0,0,0,0,0,0,3297,6084,42794,406
DeathSpank - Thongs of Virtue,166,114,39,35.43,0.77,1,0.4,B,0.62,1365,0,0,3713,0,0,9431,0,3648,239,43181,19
Brothers in Arms DS,127,118,105,35.45,0.17,0,0.45,B,0.09,0,0,0,0,0,0,0,0,9593,8293,41303,1897
Code Vein,98,89,76,35.45,0.22,0,0.34,B,0.13,0,0,0,0,0,0,0,0,13186,2382,39937,3263
Jak 3,121,90,45,35.53,0.63,0,0.33,B,0.46,909,0,0,132,12,0,3347,0,11022,594,43174,26
Chants of Sennaar,219,164,84,35.56,0.62,1,0.59,B,0.65,2850,0,0,19748,0,0,973,0,0,2801,43200,0
Borderlands 2,155,123,76,35.7,0.51,1,0.45,B,0.34,972,0,0,3377,0,0,3896,0,3160,2122,42083,1117
Sands of Salzaar,147,130,105,35.71,0.29,1,0.49,B,0.17,0,0,0,1,0,0,21,0,6688,1850,42690,510
Armored Core - For Answer,113,96,71,35.71,0.37,0,0.36,B,0.23,0,0,0,114,0,0,670,0,14210,3150,41824,1376
Onimusha 3 Demon Siege,95,78,53,35.71,0.44,0,0.29,B,0.28,567,0,0,876,0,0,840,0,18194,430,40873,2327
Call of Juarez Gunslinger,171,114,30,35.74,0.82,1,0.39,B,0.7,500,0,0,1334,0,0,14840,0,2217,2268,43022,178
Haven Park,176,141,88,36.14,0.5,1,0.52,B,0.36,721,0,0,298,11,0,6226,0,450,1982,43175,25
Point Blank DS,213,190,155,36.21,0.27,1,0.72,B,0.41,201,0,18,2457,0,0,2383,0,2145,13972,42906,294
SteamWorld Dig,151,111,50,36.24,0.67,1,0.39,B,0.5,312,0,0,1536,39,0,7974,7,7854,844,43163,37
Lair of the Clockwork God,206,155,77,36.28,0.63,1,0.55,B,0.57,387,0,0,702,0,0,13899,0,0,7,43200,0
Creature in the Well,143,113,67,36.32,0.53,1,0.41,B,0.36,64,0,0,19,0,0,5485,0,2723,2135,42641,559
Nobody Saves the World,114,99,76,36.32,0.33,0,0.37,B,0.2,98,0,0,13,0,0,215,0,9868,2107,41855,1345
Prince of Persia - The Two Thrones,160,147,127,36.36,0.21,1,0.56,B,0.15,22,0,0,0,0,0,8,0,7377,12232,41236,1964
Wind Peaks,184,160,123,36.39,0.33,1,0.6,B,0.3,30,0,0,28,0,0,1004,0,399,3421,42335,865
Super Smash Bros. Melee,155,144,127,36.43,0.18,1,0.55,B,0.12,341,0,0,1151,0,0,2734,0,1691,1136,41981,1219
Thronefall,198,138,45,36.47,0.77,1,0.48,B,0.63,0,0,0,19,0,0,27110,1,1493,383,43122,78
Disney's Kim Possible - What's the Switch,92,72,41,36.47,0.55,0,0.26,B,0.38,3779,0,0,274,0,0,1950,0,18401,234,43002,198
Dragon Quest VII - Fragments of the Forgotten Past,132,116,91,36.59,0.31,1,0.44,B,0.18,203,0,43,624,128,0,2296,0,3013,1955,42490,710
Harvest Moon - Grand Bazaar,177,156,123,36.67,0.31,1,0.59,B,0.26,1099,1,33,729,1,0,1559,0,1697,6728,42235,965
Ape Escape,126,114,95,36.77,0.25,0,0.43,B,0.14,4499,5,0,30,0,0,426,0,2885,748,41109,2091
Armored Core,109,92,65,36.82,0.4,0,0.34,B,0.25,1153,0,0,137,0,0,1699,0,8946,1207,41911,1289
Finding Paradise,167,157,141,36.92,0.16,1,0.6,B,0.13,0,0,0,0,0,0,645,0,0,9897,42265,935
Fury Unleashed,150,145,137,36.92,0.09,1,0.56,B,0.06,0,0,0,15,9,0,468,0,10195,18397,37514,5686
Assassin's Creed Syndicate,103,98,90,36.92,0.13,0,0.38,B,0.07,0,0,0,0,0,0,17,0,7468,3828,33568,9632
The Forgotten City,87,82,74,36.92,0.15,0,0.32,B,0.08,0,0,0,0,0,0,0,0,15264,1835,41972,1228
Godstrike,99,84,60,36.92,0.39,0,0.31,B,0.25,20,0,0,762,0,0,2040,0,7180,1597,42365,835
Submerged,142,124,95,37.02,0.33,1,0.46,B,0.2,1,0,0,34,464,0,431,0,5840,1664,42449,751
Vagrant Story,139,121,92,37.02,0.34,1,0.45,B,0.2,0,0,0,0,0,0,0,0,10185,3218,42665,535
Fear and Hunger 2 Termina,151,119,67,37.14,0.56,1,0.43,B,0.39,0,0,0,206,0,0,6655,0,1092,3912,43125,75
Sea Horizon,128,104,65,37.14,0.49,1,0.38,B,0.33,0,0,0,29,0,0,201,0,5897,362,43163,37
Deus Ex - Human Revolution,78,59,28,37.2,0.64,0,0.21,B,0.47,0,0,0,268,0,0,1525,0,21142,341,42928,272
Fossil Fighters,178,128,46,37.27,0.74,1,0.44,B,0.59,1897,0,0,3889,42,0,15711,0,4119,876,42838,362
Super Mario 3D All-Stars,144,141,136,37.5,0.06,1,0.55,B,0.03,2187,108,451,328,1765,0,368,9,2062,4929,42939,261
Diddy Kong Racing,121,109,89,37.5,0.26,0,0.41,B,0.15,3823,0,98,2330,0,0,1749,1,2443,1250,43044,156
Knock-Knock,92,74,44,37.5,0.52,0,0.27,B,0.35,233,0,0,2536,0,0,2415,0,22268,120,43195,5
Kingdom Come Deliverance,90,72,42,37.5,0.53,0,0.26,B,0.36,0,0,0,980,0,0,2676,0,19009,953,38315,4885
Call of the Sea,80,68,48,37.5,0.4,0,0.25,B,0.25,18,0,0,0,0,0,204,0,15465,2654,42435,765
Castlevania - Curse of Darkness,76,67,52,37.5,0.32,0,0.25,B,0.19,0,0,0,7,0,0,62,0,18287,302,40341,2859
The Talos Principle,62,59,54,37.5,0.13,0,0.23,B,0.07,0,0,0,0,0,0,0,0,23529,694,34550,8650
Grand Knights History,154,132,95,37.63,0.38,1,0.49,B,0.24,2,0,0,22,0,0,95,0,2651,956,41670,1530
World of Goo,150,131,99,37.65,0.34,1,0.49,B,0.2,0,0,0,323,0,0,181,0,12001,4780,34963,8237
Streets of Rage 4,158,119,53,37.71,0.66,1,0.41,B,0.5,1457,0,0,5034,152,0,9981,1,5747,272,42935,265
Luna - The Shadow Dust,140,117,78,37.74,0.44,1,0.43,B,0.28,0,0,0,30,0,0,10,0,3591,207,43097,103
Gibbon Beyond the Trees,205,174,121,37.86,0.41,1,0.64,B,0.46,578,0,0,299,0,0,551,0,2197,2980,43188,12
Heroes of Might and Magic V,179,168,149,38,0.17,1,0.64,B,0.16,0,0,0,0,0,0,38,0,456,13792,42958,242
Halo 3,78,67,48,38,0.38,0,0.25,B,0.24,136,0,0,1143,0,0,2909,0,19099,10,42475,725
Luxor - Pharaoh's Challenge,132,116,88,38.18,0.33,1,0.43,B,0.2,156,1,0,853,6,0,729,0,2720,1371,42410,790
Far Cry 3,112,108,101,38.18,0.1,0,0.42,B,0.05,21,0,0,0,0,0,0,0,6887,3587,41276,1924
Mystery Dungeon Shiren The Wanderer 3,100,88,67,38.18,0.33,0,0.33,B,0.2,525,0,0,228,0,0,648,0,13809,2902,42266,934
Tom Clancy's Splinter Cell - Pandora Tomorrow,91,75,47,38.18,0.48,0,0.27,B,0.32,5,0,0,191,0,0,1785,0,13497,1761,41436,1764
Legend of Mana,178,133,54,38.23,0.7,1,0.45,B,0.53,80,0,0,4898,0,0,8793,10,112,90,43172,28
Doom,138,117,80,38.28,0.42,1,0.43,B,0.27,0,0,0,899,0,0,1960,0,10598,9246,42892,308
Harvest Moon - The Tale of Two Towns,179,166,143,38.33,0.2,1,0.63,B,0.19,244,0,0,67,0,0,1790,3,688,13148,42024,1176
PaRappa the Rapper 2,189,180,164,38.4,0.13,1,0.69,B,0.16,969,2,0,1201,13,0,2667,0,733,17991,42312,888
Super Mario 3D World + Bowser's Fury,145,136,120,38.4,0.17,1,0.52,B,0.1,1221,227,49,962,3,0,1745,0,3510,9115,42355,845
The Humans - Meet the Ancestors,134,125,109,38.4,0.19,1,0.48,B,0.1,17,0,0,0,0,0,706,0,4351,2786,40228,2972
Jak and Daxter - The Precursor Legacy,123,104,70,38.49,0.43,0,0.38,B,0.27,183,0,0,510,4,0,667,0,2226,573,41841,1359
Super Mario Party Jamboree,172,148,105,38.51,0.39,1,0.54,B,0.29,1443,52,79,4573,25,0,2625,11,3784,6741,42212,988
Rage,208,193,166,38.57,0.2,1,0.73,B,0.31,0,0,0,0,0,0,75,0,1003,21711,43182,18
The Fabulous Fear Machine,70,65,56,38.57,0.2,0,0.25,B,0.11,0,0,0,1081,0,0,38,0,22251,630,41759,1441
Shin Megami Tensei IV,95,89,78,38.82,0.18,0,0.34,B,0.1,0,0,0,0,0,0,0,0,8455,2012,38078,5122
Tribal Hunter,164,145,110,38.89,0.33,1,0.54,B,0.23,928,56,0,200,1,0,686,0,3445,4621,42382,818
Unbound - Worlds Apart,73,66,53,39,0.27,0,0.25,B,0.16,698,0,0,230,4,0,1120,0,9242,1237,42652,548
Crow Country,44,36,21,39.13,0.52,0,0.13,B,0.35,2,0,0,10,0,0,7,0,26701,521,42933,267
The Legend of Zelda - The Wind Waker,186,144,65,39.17,0.65,1,0.49,B,0.48,948,3,1,5871,0,0,7809,17,462,225,43147,53
Mortal Kombat 11,197,151,64,39.25,0.68,1,0.51,B,0.53,0,0,0,8930,0,0,9389,0,783,2675,43198,2
Raw Metal,82,63,27,39.27,0.67,0,0.21,B,0.5,0,0,0,399,0,0,4871,0,17625,46,41963,1237
Final Fantasy Type-0,190,170,132,39.31,0.31,1,0.63,B,0.31,76,0,0,23,0,0,413,0,1704,12933,42299,901
Old Man's Journey,156,146,127,39.31,0.19,1,0.55,B,0.13,495,0,0,0,681,0,515,0,26,2063,42434,766
Oddworld - New 'n' Tasty,113,91,49,39.38,0.57,0,0.32,B,0.4,163,0,0,145,0,0,1743,0,4097,530,41713,1487
Warcraft III - Reign of Chaos,69,57,34,39.43,0.51,0,0.2,B,0.34,0,0,0,660,0,0,358,0,21568,34,42193,1007
Age of Empires III,166,153,128,39.47,0.23,1,0.58,B,0.18,7,0,0,0,0,0,38,0,1640,12818,40367,2833
Super Scribblenauts,185,169,138,39.57,0.25,1,0.63,B,0.25,2006,0,0,57,18,0,1038,0,9,4899,41820,1380
Pokémon - HeartGold Version,199,162,90,39.63,0.55,1,0.57,B,0.49,58,0,1,1847,0,0,9270,0,521,1714,43113,87
Teenage Mutant Ninja Turtles,173,127,37,39.71,0.79,1,0.41,B,0.65,4,0,0,97,0,0,23420,0,3017,216,42941,259
Metal Gear Solid,145,144,142,40,0.02,1,0.56,B,0.01,0,0,0,0,0,0,0,0,11939,17304,33172,10028
Dying Light,143,140,134,40,0.06,1,0.54,B,0.04,0,0,0,36,0,0,41,0,15373,18184,38694,4506
Frostpunk,120,119,117,40,0.03,0,0.46,B,0.01,2,0,0,1,0,0,93,0,12875,8285,41239,1961
Yakuza Kiwami,117,111,99,40,0.15,0,0.42,B,0.08,1,0,0,95,0,0,0,0,10962,6692,41219,1981
Deadlight,126,112,84,40,0.33,0,0.41,B,0.2,0,0,0,0,0,0,0,0,5868,0,43123,77
Fort Triumph,120,107,81,40,0.32,0,0.39,B,0.19,36,0,0,37,0,0,210,0,5733,2562,42682,518
Solasta - Crown of the Magister,85,79,67,40,0.21,0,0.3,B,0.12,0,0,0,0,0,0,0,0,18461,3029,42133,1067
Wilmot's Warehouse,82,68,40,40,0.51,0,0.24,B,0.34,1762,0,0,2172,0,0,4615,0,23177,2490,42489,711
Boomerang X,52,51,49,40,0.06,0,0.2,B,0.03,0,0,0,292,0,0,12,0,30768,4056,35676,7524
The Witcher 2 - Assassins of Kings,48,47,45,40,0.06,0,0.18,B,0.03,0,0,0,0,0,0,0,0,29357,1050,41128,2072
Withering Rooms,42,39,33,40,0.21,0,0.15,B,0.12,0,0,0,0,0,0,0,0,31174,1219,40602,2598
Deadbolt,33,32,30,40,0.09,0,0.12,B,0.05,0,0,0,0,0,0,0,0,33860,1692,41124,2076
Amnesia The Bunker,32,29,23,40,0.28,0,0.11,B,0.16,0,0,0,0,0,0,0,0,34195,505,42328,872
Hylics 2,25,21,13,40,0.48,0,0.07,B,0.32,8,0,0,913,0,0,17,0,36949,570,43026,174
Professor Layton and the Lost Future,147,118,59,40.23,0.6,1,0.4,B,0.43,17,0,0,1418,0,0,2818,0,256,831,43144,56
Mario & Luigi - Superstar Saga + Bowser's Minions,189,179,158,40.65,0.16,1,0.68,B,0.19,1132,17,3,555,0,0,533,0,2487,19391,42064,1136
Paper Mario - Sticker Star,190,162,103,40.69,0.46,1,0.57,B,0.4,1329,0,1,2703,14,0,5971,0,340,3823,42391,809
