Name,r,g,b,hue,sat_1,value,lumo,Custom Order,sat_2,red,green,blue,yellow,cyan,magenta,orange,indigo,black,white,unknown,grey
Biped,125,143,146,188.57,0.14,1,0.53,B,0.09,0,0,0,36,1,0,1352,0,1366,2756,40893,2307
Final Fantasy - The 4 Heroes of Light,129,141,143,188.57,0.1,1,0.53,B,0.06,0,0,0,7,0,0,8,0,1884,3655,40811,2389
Darksiders II,109,115,116,188.57,0.06,0,0.44,B,0.03,0,0,0,0,0,0,0,8,13644,10225,39031,4169
After Us,65,71,72,188.57,0.1,0,0.27,B,0.05,0,0,0,0,0,0,0,0,23540,3914,38375,4825
ENCODYA,43,72,77,188.82,0.44,0,0.24,B,0.28,0,0,0,0,109,0,1,0,20497,3028,42388,812
Another Crabs Treasure,88,171,186,189.18,0.53,1,0.54,B,0.42,295,0,0,6,7373,0,265,0,560,2973,42789,411
Super Mario Galaxy 2,100,133,139,189.23,0.28,1,0.47,B,0.16,799,462,231,381,413,3,621,1,1562,2374,42527,673
New Super Mario Bros.,108,135,140,189.38,0.23,1,0.49,B,0.13,2206,5,0,1410,297,0,846,0,4271,3941,42185,1015
El Shaddai - Ascension of the Metatron,149,186,193,189.55,0.23,1,0.67,B,0.26,0,0,0,0,301,0,0,0,536,12241,41510,1690
Aquaria,60,171,192,189.55,0.69,1,0.49,B,0.52,0,0,0,0,11447,0,0,0,1737,2077,43132,68
Deepening Fire,61,96,103,190,0.41,0,0.32,B,0.26,0,0,0,0,1072,0,0,0,14969,2348,42080,1120
Kena - Bridge of Spirits,77,96,100,190.43,0.23,0,0.35,B,0.13,0,0,8,0,47,0,0,0,10232,2797,41823,1377
Carto,120,167,177,190.53,0.32,1,0.58,B,0.27,7,0,0,0,0,0,51,0,42,6106,43089,111
They Are Billions,26,40,43,190.59,0.4,0,0.14,B,0.25,92,0,0,0,0,0,56,0,27417,89,43085,115
Xenoblade Chronicles,97,129,136,190.77,0.29,1,0.46,B,0.17,16,0,0,0,0,0,0,0,1685,3303,42579,621
Myst,112,121,123,190.91,0.09,0,0.46,B,0.05,0,0,0,0,0,0,0,0,9496,6483,42030,1170
Invisible. Inc,67,85,89,190.91,0.25,0,0.31,B,0.14,0,0,0,2,130,0,4,0,13153,2108,42680,520
Chillquarium,47,171,199,191.05,0.76,1,0.48,B,0.62,0,0,5,2,4704,0,0,0,613,571,43179,21
UnderMine,80,93,96,191.25,0.17,0,0.35,B,0.09,58,6,33,43,9,0,1090,1,6489,553,42822,378
The Sinking City,67,84,88,191.43,0.24,0,0.3,B,0.14,0,0,0,0,0,0,0,0,19791,3130,42579,621
Pokemon Sword Shield,148,169,174,191.54,0.15,1,0.63,B,0.14,0,0,0,452,38,0,103,0,408,12424,42532,668
Pokémon Black and White 2,87,108,113,191.54,0.23,0,0.39,B,0.13,0,0,0,673,22,0,386,0,10889,3458,41165,2035
Pummel Party,55,76,81,191.54,0.32,0,0.27,B,0.19,349,33,12,5,1097,0,174,1,24840,1068,43149,51
Jitsu Squad,127,152,158,191.61,0.2,1,0.56,B,0.14,467,1,0,154,360,0,652,0,2680,6081,41225,1975
Horizon Zero Dawn,97,122,128,191.61,0.24,1,0.44,B,0.14,0,0,0,367,0,0,1,0,5397,3405,39314,3886
Endless Space 2,57,82,88,191.61,0.35,0,0.28,B,0.21,0,0,0,0,0,0,0,0,14179,1844,41964,1236
Secret Agent Clank,136,156,161,192,0.16,1,0.58,B,0.12,0,2,0,214,509,0,58,0,7236,15053,39059,4141
Bright Memory - Infinite,128,140,143,192,0.1,1,0.53,B,0.06,0,0,0,0,0,0,0,0,5842,13041,41164,2036
Syphon Filter - Dark Mirror,109,113,114,192,0.04,0,0.44,B,0.02,139,0,0,38,0,0,1121,0,6298,5172,35333,7867
Assassin's Creed - Revelations,82,90,92,192,0.11,0,0.34,B,0.06,17,0,0,0,0,0,0,0,17303,6240,40561,2639
The Cave,68,96,103,192,0.34,0,0.34,B,0.2,0,0,0,0,0,0,0,0,17778,2597,43181,19
Fallen Leaf,126,161,170,192.27,0.26,1,0.58,B,0.21,521,31,0,1,199,0,396,0,3275,3512,42734,466
Mayhem Brawler,91,126,135,192.27,0.33,1,0.44,B,0.19,1152,0,0,199,6843,0,1093,0,5134,1240,41939,1261
Dark Souls,84,111,118,192.35,0.29,0,0.4,B,0.17,0,0,0,0,1,0,0,0,14358,6247,42351,849
Storyteller,108,127,132,192.5,0.18,1,0.47,B,0.1,1,0,0,0,0,0,180,0,1083,1915,42637,563
Syphon Filter 2,35,92,107,192.5,0.67,0,0.28,B,0.51,0,362,0,0,1240,0,0,0,9657,157,43055,145
Everybody's Gold,131,172,183,192.69,0.28,1,0.62,B,0.27,371,0,0,4,5,0,191,0,3,14283,41434,1766
Shattered - Tale of the Forgotten King,50,76,83,192.73,0.4,0,0.26,B,0.25,0,0,0,0,6,0,0,0,14323,147,42175,1025
TopSpin 2k25,135,172,182,192.77,0.26,1,0.62,B,0.24,34,0,21,0,596,0,28,0,1342,8488,42937,263
The Legend of Heroes Trails from Zero,152,174,180,192.86,0.16,1,0.65,B,0.16,6,0,0,0,1973,0,0,0,619,10748,39027,4173
Patapon 3,103,179,200,192.99,0.48,1,0.59,B,0.47,111,0,0,0,804,0,15,0,2311,2485,42900,300
Hard West 2,61,97,107,193.04,0.43,0,0.33,B,0.27,0,0,0,0,0,0,3,0,7545,3475,42791,409
Alpha Protocol,179,186,188,193.33,0.05,1,0.72,B,0.06,0,0,0,0,4,0,0,0,5399,26639,39696,3504
Kirby 64 - The Crystal Shards,135,170,180,193.33,0.25,1,0.62,B,0.23,1509,0,2,622,36,0,1167,0,155,1645,43064,136
The Legend of Zelda - Skyward Sword HD,133,164,173,193.5,0.23,1,0.6,B,0.2,299,0,674,0,438,0,18,0,297,7145,42267,933
Eternal Darkness Sanity’s Requiem,39,63,70,193.55,0.44,0,0.21,B,0.28,0,0,0,0,0,0,0,0,22141,167,42652,548
Kentucky Route Zero,37,88,103,193.64,0.64,0,0.27,B,0.47,0,0,0,0,0,0,0,0,2517,442,43049,151
Flower,65,115,130,193.85,0.5,1,0.38,B,0.33,0,0,0,0,0,0,114,0,0,596,43173,27
The Marvellous Miss Take,60,106,120,194,0.5,0,0.35,B,0.33,935,0,0,82,89,0,300,0,1741,407,42915,285
Gamedec,45,64,70,194.4,0.36,0,0.23,B,0.22,0,0,0,0,2,0,0,0,14105,0,42853,347
ASTRONEER,93,146,163,194.57,0.43,1,0.5,B,0.28,1,0,27,0,96,0,0,0,1131,2155,43099,101
Ship of Fools,21,55,66,194.67,0.68,0,0.17,B,0.52,0,0,0,0,8,0,0,0,16945,67,42957,243
Metamorphosis,48,88,101,194.72,0.52,0,0.29,B,0.36,0,0,0,0,0,0,0,0,5653,707,42692,508
Caravan SandWitch,131,174,188,194.74,0.3,1,0.63,B,0.3,12,0,0,0,7,0,1742,0,525,7985,42881,319
Haven,106,155,171,194.77,0.38,1,0.54,B,0.28,0,0,0,0,4509,0,0,0,158,5207,42227,973
Horizon Forbidden West,104,156,173,194.78,0.4,1,0.54,B,0.3,22,1,0,0,97,0,3,0,289,3835,42535,665
