Index,Title,RED,GREEN,BLUE,CLUSTERS,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2
1375,Neighbors From Hell,85.77,79.10,75.07,10.7,0.06,0.12,85.77,0.06,80,-0.07
1496,Papers Please,53.81,46.68,43.07,10.74,0.06,0.20,53.81,0.06,48,-0.11
780,Front Mission 4,86.40,78.51,73.49,12.91,0.06,0.15,86.40,0.06,80,-0.08
9,"9 Hours, 9 Persons, 9 Doors",76.26,67.56,63.07,13.19,0.06,0.17,76.26,0.06,70,-0.10
1,"10,000 Bullets",54.02,44.26,39.38,14.64,0.06,0.27,54.02,0.06,47,-0.16
477,Def Jam - Fight for NY,52.89,43.63,38.11,14.78,0.06,0.28,52.89,0.06,46,-0.17
1891,Sly 3 - Honor Among Thieves,88.23,78.32,72.88,15.35,0.06,0.17,88.23,0.06,81,-0.10
739,Final Fantasy XVI,114.56,105.08,99.14,15.42,0.06,0.13,114.56,0.06,107,-0.07
1985,Stella Glow,144.81,134.76,128.89,15.92,0.06,0.11,144.81,0.06,137,-0.06
1681,Remnant from the Ashes,90.87,80.32,74.80,16.07,0.06,0.18,90.87,0.06,83,-0.10
2296,Titan Souls,96.25,85.47,79.71,16.54,0.06,0.17,96.25,0.06,88,-0.10
1023,Jade Cocoon - Story of the Tamamayu,71.18,60.27,54.43,16.75,0.06,0.24,71.18,0.06,63,-0.14
742,Final Fantasy_2,205.41,194.87,188.35,17.06,0.06,0.08,205.41,0.06,197,-0.04
2489,Wild Arms 4,108.41,97.53,91.22,17.19,0.06,0.16,108.41,0.06,100,-0.09
143,Atelier Ryza - Ever Darkness & the Secret Hideout,148.34,136.39,129.81,18.53,0.06,0.12,148.34,0.06,139,-0.07
773,FreeSpace 2,65.32,52.99,46.57,18.75,0.06,0.29,65.32,0.06,56,-0.17
1475,Outland,107.27,94.41,87.80,19.47,0.06,0.18,107.27,0.06,98,-0.10
2145,The Dungeon of Naheulbeuk The Amulet of Chaos,44.63,31.73,24.57,20.06,0.06,0.45,44.63,0.06,35,-0.30
2507,Wo Long Fallen Dynasty,72.24,58.15,50.95,21.29,0.06,0.29,72.24,0.06,62,-0.18
1804,Shadow Blade Reload,98.70,84.55,77.28,21.42,0.06,0.22,98.70,0.06,88,-0.12
2416,Valkyria Chronicles II,105.18,90.86,83.08,22.1,0.06,0.21,105.18,0.06,94,-0.12
2361,Twin Blades,79.13,63.57,55.83,23.3,0.06,0.29,79.13,0.06,67,-0.18
1321,Morbid - The Seven Acolytes,48.64,33.98,25.27,23.37,0.06,0.48,48.64,0.06,37,-0.33
599,Dungeons 2,60.60,45.21,36.14,24.46,0.06,0.40,60.60,0.06,48,-0.26
2528,X-Men Origins Wolverine,60.41,44.40,35.46,24.95,0.06,0.41,60.41,0.06,48,-0.27
399,Crash Team Racing,128.37,112.65,103.05,25.32,0.06,0.20,128.37,0.06,116,-0.11
437,Darksiders III,108.48,92.29,83.13,25.35,0.06,0.23,108.48,0.06,96,-0.13
2447,Wandering Sword,136.64,119.50,111.00,25.64,0.06,0.19,136.64,0.06,124,-0.10
2172,The Knight Witch,98.92,82.25,71.72,27.2,0.06,0.27,98.92,0.06,85,-0.16
1409,Ninja Gaiden 3 Razors Edge,55.54,37.30,27.76,27.78,0.06,0.50,55.54,0.06,42,-0.34
2375,Ultra Age,107.84,90.03,78.96,28.88,0.06,0.27,107.84,0.06,93,-0.16
1814,Shadow of the Tomb Raider,66.84,47.66,37.65,29.19,0.06,0.44,66.84,0.06,52,-0.28
449,Dead or Alive - Dimensions,165.68,146.76,136.21,29.47,0.06,0.18,165.68,0.06,151,-0.10
1269,Metaphor ReFantazio,127.37,107.64,96.99,30.38,0.06,0.24,127.37,0.06,112,-0.14
1909,Songs of Conquest,101.47,82.74,70.90,30.57,0.06,0.30,101.47,0.06,86,-0.18
770,Fran Bow,63.53,42.49,31.86,31.67,0.06,0.50,63.53,0.06,48,-0.34
2462,Wartales,74.19,54.04,42.47,31.72,0.06,0.43,74.19,0.06,58,-0.28
2444,Voyage,98.12,77.45,66.32,31.8,0.06,0.32,98.12,0.06,82,-0.20
920,Heaven Dust 2,53.29,32.57,21.31,31.98,0.06,0.60,53.29,0.06,37,-0.44
2141,The Council,51.21,30.65,19.16,32.05,0.06,0.63,51.21,0.06,35,-0.47
1143,Loopmancer,105.82,85.71,73.35,32.47,0.06,0.31,105.82,0.06,90,-0.18
456,Dead Space,81.93,61.35,49.38,32.55,0.06,0.40,81.93,0.06,66,-0.25
1767,Sakura Wars - So Long My Love,185.72,165.47,153.15,32.57,0.06,0.18,185.72,0.06,169,-0.10
1825,Shank 2,72.41,51.20,39.14,33.27,0.06,0.46,72.41,0.06,56,-0.30
88,Apollo Justice - Ace Attorney Trilogy,137.03,116.19,103.18,33.85,0.06,0.25,137.03,0.06,120,-0.14
1659,Ravenswatch,124.69,101.87,90.49,34.2,0.06,0.27,124.69,0.06,108,-0.16
2453,"Warhammer 40K - Shootas, Blood & Teef",90.62,68.88,55.18,35.44,0.06,0.39,90.62,0.06,73,-0.25
2364,Twisted Metal,105.86,81.61,69.17,36.69,0.06,0.35,105.86,0.06,88,-0.21
69,American Arcadia,156.84,132.81,119.80,37.04,0.06,0.24,156.84,0.06,138,-0.13
1347,Mystery Dungeon - Shiren the Wanderer,107.32,84.37,70.20,37.12,0.06,0.35,107.32,0.06,89,-0.21
234,BloodRayne,81.48,56.38,42.36,39.12,0.06,0.48,81.48,0.06,62,-0.32
2210,The Medium,103.06,78.94,63.89,39.17,0.06,0.38,103.06,0.06,83,-0.24
2313,Tomb Raider,62.75,38.02,23.56,39.19,0.06,0.62,62.75,0.06,43,-0.46
836,GoldenEye 007,125.33,98.65,84.64,40.69,0.06,0.32,125.33,0.06,105,-0.20
2322,Total War - Attila,60.17,33.32,19.35,40.82,0.06,0.68,60.17,0.06,40,-0.53
2203,The Lord of the Rings - The Return of the King,92.00,66.39,50.94,41.06,0.06,0.45,92.00,0.06,71,-0.29
22,A Story about my Uncle,164.56,138.08,123.38,41.18,0.06,0.25,164.56,0.06,144,-0.14
2284,Time - Gentlemen Please,130.43,104.50,88.30,42.13,0.06,0.32,130.43,0.06,109,-0.19
797,Gears of War,67.57,38.54,23.84,43.73,0.06,0.65,67.57,0.06,46,-0.49
1082,Knights in the Nightmare,131.82,103.05,87.87,43.95,0.06,0.33,131.82,0.06,110,-0.20
